studyName,Sample Number,Species,Island,Individual ID,Clutch Completion,Date Egg,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo)
PAL200708,1,Adelie Penguin (Pygoscelis adeliae),Torgersen,N1A1,Yes,11/11/2007,39.1,18.7,181,3750,MALE,,
PAL200708,2,Adelie Penguin (Pygoscelis adeliae),Torgersen,N1A2,Yes,11/11/2007,39.5,17.4,186,3800,FEMALE,8.94956,-24.69454
PAL200708,3,Adelie Penguin (Pygoscelis adeliae),Torgersen,N2A1,Yes,11/16/2007,40.3,18,195,3250,FEMALE,8.36821,-25.33302
PAL200708,4,Adelie Penguin (Pygoscelis adeliae),Torgersen,N2A2,Yes,11/16/2007,38.5,18.1,189,3200,MALE,,
PAL200708,5,Adelie Penguin (Pygoscelis adeliae),Torgersen,N3A1,Yes,11/16/2007,36.7,19.3,193,3450,FEMALE,8.76651,-25.32426
PAL200708,6,Adelie Penguin (Pygoscelis adeliae),Torgersen,N3A2,Yes,11/16/2007,39.3,20.6,190,3650,MALE,8.66496,-25.29805
PAL200708,7,Adelie Penguin (Pygoscelis adeliae),Torgersen,N4A1,No,11/15/2007,38.9,17.8,181,3625,FEMALE,9.18718,-25.21799
PAL200708,8,Adelie Penguin (Pygoscelis adeliae),Torgersen,N4A2,No,11/15/2007,39.2,19.6,195,4675,MALE,9.46066,-24.89958
PAL200708,9,Adelie Penguin (Pygoscelis adeliae),Torgersen,N5A1,Yes,11/09/2007,34.1,18.1,193,3475,,,
PAL200708,10,Adelie Penguin (Pygoscelis adeliae),Torgersen,N5A2,Yes,11/09/2007,42,20.2,190,4250,,9.13362,-25.2009368
PAL200708,11,Adelie Penguin (Pygoscelis adeliae),Torgersen,N6A1,Yes,11/09/2007,37.8,17.1,186,3300,,8.63243,-25.21315
PAL200708,12,Adelie Penguin (Pygoscelis adeliae),Torgersen,N6A2,Yes,11/09/2007,37.8,17.3,180,3700,,,
PAL200708,13,Adelie Penguin (Pygoscelis adeliae),Torgersen,N7A1,Yes,11/15/2007,41.1,17.6,182,3200,FEMALE,,
PAL200708,14,Adelie Penguin (Pygoscelis adeliae),Torgersen,N7A2,Yes,11/15/2007,38.6,21.2,191,3800,MALE,,
PAL200708,15,Adelie Penguin (Pygoscelis adeliae),Torgersen,N8A1,Yes,11/16/2007,34.6,21.1,198,4400,MALE,8.55583,-25.22588
PAL200708,16,Adelie Penguin (Pygoscelis adeliae),Torgersen,N8A2,Yes,11/16/2007,36.6,17.8,185,3700,FEMALE,,
PAL200708,17,Adelie Penguin (Pygoscelis adeliae),Torgersen,N9A1,Yes,11/12/2007,38.7,19,195,3450,FEMALE,9.18528,-25.06691
PAL200708,18,Adelie Penguin (Pygoscelis adeliae),Torgersen,N9A2,Yes,11/12/2007,42.5,20.7,197,4500,MALE,8.67538,-25.13993
PAL200708,19,Adelie Penguin (Pygoscelis adeliae),Torgersen,N10A1,Yes,11/16/2007,34.4,18.4,184,3325,FEMALE,8.47827,-25.23319
PAL200708,20,Adelie Penguin (Pygoscelis adeliae),Torgersen,N10A2,Yes,11/16/2007,46,21.5,194,4200,MALE,9.11616,-24.77227
PAL200708,21,Adelie Penguin (Pygoscelis adeliae),Biscoe,N11A1,Yes,11/12/2007,37.8,18.3,174,3400,FEMALE,8.73762,-25.2009383
PAL200708,22,Adelie Penguin (Pygoscelis adeliae),Biscoe,N11A2,Yes,11/12/2007,37.7,18.7,180,3600,MALE,8.66271,-25.0639
PAL200708,23,Adelie Penguin (Pygoscelis adeliae),Biscoe,N12A1,Yes,11/12/2007,35.9,19.2,189,3800,FEMALE,9.22286,-25.03474
PAL200708,24,Adelie Penguin (Pygoscelis adeliae),Biscoe,N12A2,Yes,11/12/2007,38.2,18.1,185,3950,MALE,8.43423,-25.22664
